t,r,vr,ar
0.0001,10.0,1.9990131207314633e-06,0.019990131207314632
0.10010000000000184,10.000100049941011,0.0020009854640281087,0.019989332221675173
0.20009999999999428,10.000399991872525,0.003999812028034228,0.019986935168473937
0.30009999999998327,10.000899801824717,0.005998318938873657,0.019982940957690907
0.40009999999997226,10.00159943985676,0.007996346551615985,0.019977351105264746
0.5000999999999612,10.002498850071895,0.009993735403200157,0.019970167731776896
0.6000999999999502,10.003597960638698,0.011990326272811137,0.01996139356061162
0.7000999999999392,10.004896683818151,0.013985960242046173,0.01995103191559562
0.8000999999999282,10.006394915997118,0.015980478754819484,0.019939086718119635
0.9000999999999172,10.008092537727366,0.017973723676953064,0.019925562483748042
1.0000999999999063,10.009989413770851,0.01996553735540324,0.019910464318320283
1.1000999999998953,10.012085393150612,0.021955762677072138,0.01989379791355126
1.2000999999998843,10.014380309207866,0.023944243127154125,0.019875569542136137
1.3000999999998732,10.016873979664553,0.0259308228469688,0.019855786052368558
1.4000999999998622,10.019566206691993,0.027915346691231226,0.019834454862278895
1.5000999999998512,10.022456776984908,0.029897660284712593,0.01981158395330293
1.6000999999998402,10.025545461841363,0.03187761007824462,0.019787181863489243
1.7000999999998292,10.028832017248035,0.033855043404022254,0.019761257680256585
1.8000999999998182,10.032316183971089,0.035829808530159296,0.019733821032711495
1.9000999999998072,10.035997687652564,0.03780175471445529,0.01970488208353754
2.0000999999997964,10.03987623891183,0.03977073225732959,0.019674451520469097
2.1001000000000074,10.043951533452605,0.04173659255388309,0.01964254054736105
2.2001000000002184,10.048223252174894,0.04369918814504648,0.019609160874868636
2.3001000000004295,10.052691061292213,0.04565837276777856,0.019574324710750324
2.4001000000006405,10.057354612453455,0.047614001404275755,0.019538044749808595
2.5001000000008515,10.06221354286995,0.04956593033015859,0.019500334163482222
2.6001000000010626,10.067267475447261,0.051514017161600215,0.019461206589105474
2.7001000000012736,10.07251601892134,0.05345812090136549,0.019420676118850077
2.8001000000014846,10.077958767999622,0.055398101983728035,0.019378757288364305
2.9001000000016957,10.083595303506298,0.057333822318237776,0.01933546506512637
3.0001000000019067,10.089425192531941,0.05926514533230962,0.01929081483652767
3.1001000000021177,10.09544798858743,0.06119193601260738,0.019244822397702397
3.2001000000023287,10.101663231761858,0.06311406094519927,0.019197503939120272
3.30010000000254,10.108070448884456,0.06503138835446097,0.01914887603395911
3.400100000002751,10.114669153690299,0.06694378814070641,0.019098955625274226
3.500100000002962,10.121458846989722,0.06885113191652482,0.019047760012981713
3.600100000003173,10.128439016841282,0.07075329304180836,0.01899530684067258
3.700100000003384,10.135609138728272,0.07265014665745391,0.018941614082274818
3.800100000003595,10.14296867573829,0.07454156971772262,0.018886700028580974
3.900100000003806,10.150517078746335,0.07642744102124716,0.01883058327365738
4.000100000004016,10.158253786600625,0.0783076412406755,0.01877328270115311
4.100100000003783,10.166178226311388,0.08018205295093953,0.018714817470525023
4.20010000000355,10.174289813242435,0.08205056065614424,0.018655207003195604
4.300100000003317,10.18258795130554,0.08391305081506806,0.01859447096866011
4.400100000003084,10.191072033156969,0.08576941186527466,0.018532629270560205
4.500100000002851,10.199741440396442,0.08761953424582894,0.018469702032739746
4.600100000002618,10.208595543768583,0.08946331041861955,0.01840570958529818
4.700100000002385,10.217633703366008,0.09130063488828688,0.018340672450658627
4.800100000002152,10.226855268834587,0.09313140422075995,0.01827461132966486
4.900100000001919,10.236259579580521,0.09495551706040276,0.018207547087722712
5.0001000000016855,10.245845964978932,0.09677287414578072,0.018139500741000913
5.1001000000014525,10.255613744583943,0.09858337832404872,0.0180704934427056
5.200100000001219,10.265562228340283,0.10038693456397194,0.01800054646944234
5.300100000000986,10.2756907167961,0.10218344996758641,0.01792968120767945
5.400100000000753,10.28599850131668,0.10397283378051421,0.01785791914032636
5.50010000000052,10.296484864299247,0.10575499740093942,0.017785281833439193
5.600100000000287,10.30714907938879,0.10752985438726421,0.017711790923065747
5.700100000000054,10.317990411694344,0.10929732046445473,0.0176374681022428
5.800099999999821,10.329008118005772,0.11105731352909778,0.01756233510815662
5.900099999999588,10.340201447011278,0.11280975365317877,0.01748641370947728
6.000099999999355,10.351569639515013,0.11455456308660482,0.017409725693878064
6.100099999999122,10.363111928655035,0.11629166625848754,0.01733229285574944
6.200099999998889,10.37482754012105,0.11802098977720954,0.01725413698411768
6.300099999998656,10.386715692372537,0.11974246242929083,0.01717527985077623
6.400099999998423,10.398775596856245,0.12145601517708222,0.017095743198639584
6.50009999999819,10.411006458223792,0.12316158115530314,0.01701554873032651
6.600099999997957,10.423407474548478,0.12485909566645018,0.01693471809698126
6.7000999999977235,10.43597783754201,0.1265484961751015,0.01685327288733846
6.8000999999974905,10.448716732770237,0.12822972230113808,0.01677123461703959
6.900099999997257,10.461623339868249,0.12990271581191112,0.01668862471820618
7.000099999997024,10.474696832754876,0.13156742061337784,0.016605464529275075
7.100099999996791,10.487936379845925,0.13322378274023694,0.01652177528510154
7.200099999996558,10.501341144266542,0.13487175034508528,0.01643757810733417
7.300099999996325,10.514910284062482,0.13651127368662744,0.01635289399506552
7.400099999996092,10.528642952409982,0.13814230511696385,0.01626774381576258
7.500099999995859,10.542538297824498,0.13976479906798656,0.01618214829647943
7.600099999995626,10.556595464368074,0.14137871203690924,0.016096128015355073
7.700099999995393,10.570813591854835,0.14298400257096147,0.016009703393399126
7.80009999999516,10.585191816055463,0.14458063125127865,0.015922894686565544
7.900099999994927,10.599729268899635,0.14616856067601083,0.01583572197811734
8.000099999994694,10.614425078676838,0.14774775544268257,0.015748205171282254
