x,y,z,vx,vy,vz,rho,press,tipo,mass
6.00144620 , 5.99890985 , 0.00000000 , 0.31045853 , -0.20697333 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99819898 , 6.00207167 , 0.00000000 , -0.38131915 , 0.43841175 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99835434 , 6.99484015 , 0.00000000 , -0.33534927 , -1.06597867 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.00267408 , 7.00280568 , 0.00000000 , 0.56598921 , 0.57105784 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.00004348 , 8.00165146 , 0.00000000 , 0.01160720 , 0.32437190 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99900133 , 7.99738114 , 0.00000000 , -0.19742691 , -0.53607814 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99880923 , 8.99919827 , 0.00000000 , -0.25862338 , -0.13982378 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99710998 , 8.99988275 , 0.00000000 , -0.58852083 , -0.01219349 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99960596 , 10.00229758 , 0.00000000 , -0.07328794 , 0.47473622 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.00204542 , 10.00462151 , 0.00000000 , 0.43885434 , 0.96807265 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.00005178 , 11.00029135 , 0.00000000 , 0.01426060 , 0.07050857 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99923189 , 11.00180221 , 0.00000000 , -0.14865607 , 0.39675739 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99938453 , 12.00022855 , 0.00000000 , -0.15077520 , 0.05628822 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.00089213 , 12.00126837 , 0.00000000 , 0.20361928 , 0.27557308 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99957620 , 12.99808603 , 0.00000000 , -0.08829061 , -0.41019038 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99920752 , 12.99959298 , 0.00000000 , -0.15298681 , -0.07915509 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99642334 , 13.99745217 , 0.00000000 , -0.74706556 , -0.53247099 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99989551 , 14.00072634 , 0.00000000 , -0.02281170 , 0.16487268 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.00123160 , 15.00163377 , 0.00000000 , 0.24844128 , 0.34678693 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.00282839 , 15.00466958 , 0.00000000 , 0.61380914 , 0.99073339 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.00287023 , 16.00001643 , 0.00000000 , 0.60721163 , 0.00141372 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.00552544 , 16.00275898 , 0.00000000 , 1.17718319 , 0.57816822 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99956623 , 16.99919531 , 0.00000000 , -0.09126968 , -0.15668092 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.00150041 , 16.99729389 , 0.00000000 , 0.32227021 , -0.56468290 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.00336759 , 18.00427577 , 0.00000000 , 0.67742540 , 0.90603374 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99783733 , 17.99743480 , 0.00000000 , -0.42271689 , -0.54537209 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.00039985 , 19.00083554 , 0.00000000 , 0.08461437 , 0.19572540 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.00568658 , 18.99800462 , 0.00000000 , 1.20194447 , -0.43609350 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99944949 , 20.00350393 , 0.00000000 , -0.08918640 , 0.72528578 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.00249616 , 19.99734233 , 0.00000000 , 0.53038719 , -0.55483149 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.00456371 , 20.99839789 , 0.00000000 , 0.94335249 , -0.32417985 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99607425 , 21.00210483 , 0.00000000 , -0.78608903 , 0.43671608 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99563632 , 21.99510774 , 0.00000000 , -0.92722822 , -1.02333628 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99936513 , 22.00009309 , 0.00000000 , -0.13413325 , 0.03090052 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99541793 , 23.00223957 , 0.00000000 , -0.95570211 , 0.45675473 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99831716 , 23.00197701 , 0.00000000 , -0.35547701 , 0.40914464 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99940596 , 24.00158927 , 0.00000000 , -0.15400676 , 0.35507084 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99700850 , 23.99927427 , 0.00000000 , -0.60717985 , -0.14010892 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.00005616 , 25.00112780 , 0.00000000 , -0.02381388 , 0.25090110 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99423444 , 25.00014441 , 0.00000000 , -1.19049745 , 0.02953464 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.99801482 , 26.00458489 , 0.00000000 , -0.42843162 , 0.96258047 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.99853837 , 26.00152060 , 0.00000000 , -0.30033139 , 0.31900671 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.00153867 , 27.00126564 , 0.00000000 , 0.32432769 , 0.29172158 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
